state,fetched_at,mean_temp_00,mean_temp_01,mean_temp_02,mean_temp_03,mean_temp_04,mean_temp_05,mean_temp_06,mean_temp_07,mean_temp_08,mean_temp_09,mean_temp_10,mean_temp_11,annual_prcp,temp_range,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
AL,1749951989.8152075,43.79032258064515,47.61895161290323,54.854615384615386,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,52.79219388284423,36.13843686868687,-139.25606604815312,-21.553594432854723,102.31755408976962,-86.99092997362841,91.3484133511485,21.376375749291284,-195.78317223866753,-89.09148482271324
AK,1749951989.8152075,10.075675675675678,15.736451612903226,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,47.836899062600175,62.197761193011196,190.8323431205133,125.02048793222497,40.582260190512656,133.33449369102522,66.78076639530421,-71.6405488679947,62.8667092011913,29.59786674346355
AZ,1749951989.8152075,44.251351351351346,47.03900709219859,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,43.67079366374342,36.13843686868687,-134.85264083698794,-87.6317761237273,-36.291590530501246,-95.4080518210342,-52.5086275442785,42.48381149236122,7.079780285349771,23.31399602930115
AR,1749951989.8152075,38.86217391304348,43.05173913043478,51.35254237288136,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,49.18795824415483,36.13843686868687,-89.07358689047636,-8.65385523221117,39.96475875312261,-68.98953253149209,41.25100284674485,3.0560781679315956,-101.05808296678273,-39.066621192939685
CA,1749951989.8152075,45.975750258520165,33.66588130724408,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,48.23132051593341,38.607555561442794,-70.95577189275564,-81.82800189141773,62.73027388091124,-74.4628443250027,-81.74412364630787,56.47458497662529,-108.64208319223982,-97.60160424390338
CO,1749951989.8152075,25.178861788617887,28.024683544303798,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,42.520994638091096,47.094575080068985,34.4280436131556,-3.1317741688493728,16.607691501910328,14.672616025182991,-30.98654759993488,-35.962585341591364,151.68154957213306,117.59286419172179
CT,1749951989.8152075,26.229629629629628,29.24074074074074,36.8,47.790740740740745,57.75555555555555,66.7537037037037,71.73888888888888,70.32962962962964,62.69629629629629,51.28888888888889,41.61071428571428,36.135000000000005,50.153263118994815,45.50925925925925,87.9979052969743,-21.923818446767996,1.2662724175823197,73.13651608559834,27.56330458641927,6.406188407081636,13.369342081471324,-30.81371242436769
DE,1749951989.8152075,33.864999999999995,36.325,43.81999999999999,53.655,63.02,72.41,76.805,75.26500000000001,68.215,57.144999999999996,47.64,37.97,45.91666666666666,42.94000000000001,-41.4715494971274,20.659123320756894,10.23675011959592,-4.798804528363,-7.880155930048615,-18.518848308677107,-103.6884696604418,4.016799185577895
FL,1749951989.8152075,59.54502923976608,62.28333333333333,43.30499515383308,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,47.07181048074289,36.13843686868687,-254.70590600677713,-133.9241326981433,-77.08436652072719,-169.5274132894366,-44.65722046709021,109.19075745639886,-188.88157857879327,-123.34760881536113
GA,1749951989.8152075,44.926056338028175,48.46830985915493,54.14814814814815,50.66873547694311,57.67430772706514,67.50712380113906,72.27343686868687,72.01942199775533,64.82649270482604,53.791599326599325,44.432056277056276,36.135000000000005,51.08563600167348,36.13843686868687,-146.31534810094382,-28.860604800033087,71.63982895071615,-100.77759567753576,61.876079589261,36.818808672534445,-176.7245155922426,-80.69459828387575
